correct_answer	answer_type	asset_type	asset	possible_answers	randomized_answers	
1	Multiple Choice	text	Question1.txt	yes/no	TRUE	
1	Multiple Choice	text	Question2.txt	yes/no	TRUE	
1	Multiple Choice	text	Question3.txt	yes/no	TRUE	
0	Multiple Choice	text  Question4.txt	yes/no	TRUE	
1	Multiple Choice	text  Question5.txt	yes/no	TRUE	
0	Multiple Choice	text  Question6.txt	yes/no	TRUE	
1	Multiple Choice	text  Question7.txt	yes/no	TRUE	
1	Multiple Choice	text  Question8.txt	yes/no	TRUE	
1	Multiple Choice	text  Question9.txt	yes/no	TRUE	
0	Multiple Choice	text  Question10.txt	yes/no	TRUE	
0	Multiple Choice	text  Question11.txt	yes/no	TRUE	
1	Multiple Choice	text  Question12.txt	yes/no	TRUE	
1	Multiple Choice	text  Question13.txt	yes/no	TRUE	
0	Multiple Choice	text  Question14.txt	yes/no	TRUE	
1	Multiple Choice	text  Question15.txt	yes/no	TRUE	
1	Multiple Choice	text  Question16.txt	yes/no	TRUE	
1	Multiple Choice	text  Question17.txt	yes/no	TRUE	
0	Multiple Choice	text  Question18.txt	yes/no	TRUE	
1	Multiple Choice	text  Question19.txt	yes/no	TRUE	
1	Multiple Choice	text	Question20.txt	yes/no	TRUE	
